Time,mAmpere,mAmpereInt,Analog_A0,ValueA0Virtual,mAmpere3Raw,mAmpere4
2023-01-22 17:43:18,,0.0,,538.0,,
2023-01-22 17:43:16,,0.0,,538.0,,
2023-01-22 17:43:15,,0.0,,538.0,,
2023-01-22 17:43:13,,0.0,,538.0,,
2023-01-22 17:43:12,,0.0,,538.0,,
2023-01-22 17:43:10,,0.0,,540.0,,
2023-01-22 17:43:09,,0.0,,540.0,,
2023-01-22 17:43:07,,0.0,,538.0,,
2023-01-22 17:43:06,,0.0,,538.0,,
2023-01-22 17:43:04,,0.0,,540.0,,
2023-01-22 17:43:03,,0.0,,537.0,,
2023-01-22 17:43:01,,0.0,,538.0,,
2023-01-22 17:43:00,,0.0,,540.0,,
2023-01-22 17:42:59,,0.0,,538.0,,
2023-01-22 17:42:57,,0.0,,540.0,,
2023-01-22 17:42:56,,0.0,,538.0,,
2023-01-22 17:42:54,,0.0,,540.0,,
2023-01-22 17:42:53,,0.0,,538.0,,
2023-01-22 17:42:52,,,,540.0,,
2023-01-22 17:42:51,,0.0,,,,
2023-01-22 17:42:50,,0.0,,540.0,,
2023-01-22 17:42:49,,0.0,,538.0,,
2023-01-22 17:42:47,,0.0,,540.0,,
2023-01-22 17:42:46,,0.0,,540.0,,
2023-01-22 17:42:44,,0.0,,540.0,,
2023-01-22 17:42:43,,0.0,,540.0,,
2023-01-22 17:42:41,,0.0,,538.0,,
2023-01-22 17:42:40,,0.0,,540.0,,
2023-01-22 17:42:38,,0.0,,538.0,,
2023-01-22 17:42:37,,0.0,,538.0,,
2023-01-22 17:42:35,,0.0,,538.0,,
2023-01-22 17:42:34,,0.0,,538.0,,
2023-01-22 17:42:33,,0.0,,540.0,,
2023-01-22 17:42:31,,0.0,,538.0,,
2023-01-22 17:42:30,,0.0,,540.0,,
2023-01-22 17:42:28,,0.0,,538.0,,
2023-01-22 17:42:27,,0.0,,540.0,,
2023-01-22 17:42:26,,0.0,,538.0,,
2023-01-22 17:42:25,,,,540.0,,
2023-01-22 17:42:24,,0.0,,,,
2023-01-22 17:42:23,,0.0,,540.0,,
2023-01-22 17:42:22,,0.0,,538.0,,
2023-01-22 17:42:21,,0.0,,540.0,,
2023-01-22 17:42:19,,0.0,,540.0,,
2023-01-22 17:42:17,,0.0,,538.0,,
2023-01-22 17:42:16,,0.0,,540.0,,
2023-01-22 17:42:14,,0.0,,538.0,,
